Documento 1,Documento 2,Similitud (%)
doc_generado_44.txt,doc_generado_73.txt,0.98
doc_generado_40.txt,doc_generado_73.txt,0.98
doc_generado_11.txt,doc_generado_73.txt,0.98
documento4.txt,doc_generado_73.txt,0.98
doc_generado_18.txt,doc_generado_97.txt,0.98
doc_generado_18.txt,doc_generado_93.txt,0.98
doc_generado_18.txt,doc_generado_57.txt,0.98
doc_generado_18.txt,doc_generado_42.txt,0.98
doc_generado_18.txt,doc_generado_31.txt,0.98
doc_generado_18.txt,doc_generado_24.txt,0.98
documento1.txt,doc_generado_18.txt,0.98
doc_generado_60.txt,doc_generado_80.txt,0.98
doc_generado_60.txt,doc_generado_74.txt,0.98
doc_generado_39.txt,doc_generado_60.txt,0.98
doc_generado_37.txt,doc_generado_60.txt,0.98
doc_generado_10.txt,doc_generado_60.txt,0.98
documento3.txt,doc_generado_60.txt,0.98
doc_generado_33.txt,doc_generado_91.txt,0.98
doc_generado_33.txt,doc_generado_90.txt,0.98
doc_generado_25.txt,doc_generado_33.txt,0.98
doc_generado_12.txt,doc_generado_33.txt,0.98
documento5.txt,doc_generado_33.txt,0.98
doc_generado_82.txt,doc_generado_86.txt,0.98
doc_generado_7.txt,doc_generado_86.txt,0.98
doc_generado_65.txt,doc_generado_86.txt,0.98
doc_generado_34.txt,doc_generado_86.txt,0.98
doc_generado_2.txt,doc_generado_82.txt,0.98
doc_generado_2.txt,doc_generado_7.txt,0.98
doc_generado_2.txt,doc_generado_65.txt,0.98
doc_generado_2.txt,doc_generado_34.txt,0.98
doc_generado_15.txt,doc_generado_86.txt,0.98
doc_generado_15.txt,doc_generado_2.txt,0.98
doc_generado_100.txt,doc_generado_86.txt,0.98
doc_generado_100.txt,doc_generado_2.txt,0.98
documento6.txt,doc_generado_86.txt,0.98
documento6.txt,doc_generado_2.txt,0.98
doc_generado_21.txt,doc_generado_56.txt,0.97
doc_generado_45.txt,doc_generado_95.txt,0.97
doc_generado_45.txt,doc_generado_8.txt,0.97
doc_generado_45.txt,doc_generado_72.txt,0.97
doc_generado_45.txt,doc_generado_62.txt,0.97
doc_generado_45.txt,doc_generado_6.txt,0.97
doc_generado_45.txt,doc_generado_54.txt,0.97
doc_generado_44.txt,doc_generado_45.txt,0.97
doc_generado_40.txt,doc_generado_45.txt,0.97
doc_generado_11.txt,doc_generado_45.txt,0.97
documento4.txt,doc_generado_45.txt,0.97
doc_generado_77.txt,doc_generado_87.txt,0.97
doc_generado_76.txt,doc_generado_77.txt,0.97
doc_generado_71.txt,doc_generado_77.txt,0.97
doc_generado_70.txt,doc_generado_77.txt,0.97
doc_generado_69.txt,doc_generado_77.txt,0.97
doc_generado_66.txt,doc_generado_77.txt,0.97
doc_generado_49.txt,doc_generado_77.txt,0.97
doc_generado_43.txt,doc_generado_77.txt,0.97
doc_generado_41.txt,doc_generado_77.txt,0.97
doc_generado_4.txt,doc_generado_87.txt,0.97
doc_generado_4.txt,doc_generado_76.txt,0.97
doc_generado_4.txt,doc_generado_71.txt,0.97
doc_generado_4.txt,doc_generado_70.txt,0.97
doc_generado_4.txt,doc_generado_69.txt,0.97
doc_generado_4.txt,doc_generado_66.txt,0.97
doc_generado_4.txt,doc_generado_49.txt,0.97
doc_generado_4.txt,doc_generado_43.txt,0.97
doc_generado_4.txt,doc_generado_41.txt,0.97
doc_generado_3.txt,doc_generado_77.txt,0.97
doc_generado_3.txt,doc_generado_4.txt,0.97
doc_generado_29.txt,doc_generado_77.txt,0.97
doc_generado_29.txt,doc_generado_4.txt,0.97
doc_generado_28.txt,doc_generado_77.txt,0.97
doc_generado_28.txt,doc_generado_4.txt,0.97
documento2.txt,doc_generado_77.txt,0.97
documento2.txt,doc_generado_4.txt,0.97
doc_generado_60.txt,doc_generado_89.txt,0.97
doc_generado_30.txt,doc_generado_91.txt,0.97
doc_generado_30.txt,doc_generado_90.txt,0.97
doc_generado_25.txt,doc_generado_30.txt,0.97
doc_generado_12.txt,doc_generado_30.txt,0.97
documento5.txt,doc_generado_30.txt,0.97
doc_generado_58.txt,doc_generado_68.txt,0.97
doc_generado_80.txt,doc_generado_98.txt,0.97
doc_generado_74.txt,doc_generado_98.txt,0.97
doc_generado_39.txt,doc_generado_98.txt,0.97
doc_generado_37.txt,doc_generado_98.txt,0.97
doc_generado_10.txt,doc_generado_98.txt,0.97
documento3.txt,doc_generado_98.txt,0.97
doc_generado_88.txt,doc_generado_95.txt,0.97
doc_generado_8.txt,doc_generado_88.txt,0.97
doc_generado_72.txt,doc_generado_88.txt,0.97
doc_generado_62.txt,doc_generado_88.txt,0.97
doc_generado_6.txt,doc_generado_88.txt,0.97
doc_generado_54.txt,doc_generado_88.txt,0.97
doc_generado_44.txt,doc_generado_88.txt,0.97
doc_generado_40.txt,doc_generado_88.txt,0.97
doc_generado_36.txt,doc_generado_95.txt,0.97
doc_generado_36.txt,doc_generado_8.txt,0.97
doc_generado_36.txt,doc_generado_72.txt,0.97
doc_generado_36.txt,doc_generado_62.txt,0.97
doc_generado_36.txt,doc_generado_6.txt,0.97
doc_generado_36.txt,doc_generado_54.txt,0.97
doc_generado_36.txt,doc_generado_44.txt,0.97
doc_generado_36.txt,doc_generado_40.txt,0.97
doc_generado_11.txt,doc_generado_88.txt,0.97
doc_generado_11.txt,doc_generado_36.txt,0.97
documento4.txt,doc_generado_88.txt,0.97
documento4.txt,doc_generado_36.txt,0.97
doc_generado_52.txt,doc_generado_95.txt,0.97
doc_generado_52.txt,doc_generado_8.txt,0.97
doc_generado_52.txt,doc_generado_72.txt,0.97
doc_generado_52.txt,doc_generado_62.txt,0.97
doc_generado_52.txt,doc_generado_6.txt,0.97
doc_generado_52.txt,doc_generado_54.txt,0.97
doc_generado_44.txt,doc_generado_52.txt,0.97
doc_generado_40.txt,doc_generado_52.txt,0.97
doc_generado_11.txt,doc_generado_52.txt,0.97
documento4.txt,doc_generado_52.txt,0.97
